Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
128,Ted Lieu (D-Calif),1049040.00,3533519.00,6017999.00,House
129,Kamala Harris (D-Calif),1592053.00,3499026.00,5405999.00,Senate
130,Doug LaMalfa (R-Calif),1281008.00,3498504.00,5716000.00,House
131,Bill Flores (R-Texas),3490195.00,3490195.00,3490195.00,House
132,Maggie Hassan (D-NH),1478086.00,3467042.00,5455998.00,Senate
133,Susan Brooks (R-Ind),2412037.00,3428519.00,4445001.00,House
134,David P Joyce (R-Ohio),1905063.00,3415031.00,4925000.00,House
135,Frank Pallone Jr. (D-NJ),1768105.00,3413551.00,5058998.00,House
136,John Carter (R-Texas),1067008.00,3373503.00,5679999.00,House
137,Matt Cartwright (D-Pa),3305306.00,3305306.00,3305306.00,House
138,Andy Harris (R-Md),1918038.00,3244519.00,4571000.00,House
139,Ted Cruz (R-Texas),-9027848.00,3198068.00,15423985.00,Senate
140,Ben Cardin (D-Md),1602092.00,3112546.00,4623000.00,Senate
141,Diana DeGette (D-Colo),1680051.00,3095025.00,4509999.00,House
142,Ted Yoho (R-Fla),2015944.00,3089937.00,4163931.00,House
143,David Kustoff (R-Tenn),1590084.00,3048541.00,4506999.00,House
144,Alan Lowenthal (D-Calif),1301143.00,3015071.00,4729000.00,House
145,Pat Roberts (R-Kan),1680030.00,2966514.00,4252999.00,Senate
146,Bob Gibbs (R-Ohio),1587064.00,2947531.00,4307999.00,House
147,Bill Keating (D-Mass),1708042.00,2940021.00,4172000.00,House
148,Tom Suozzi (D-NY),1657067.00,2932533.00,4208000.00,House
149,Susan Davis (D-Calif),1674042.00,2817021.00,3960000.00,House
150,Thomas Massie (R-Ky),703004.00,2816501.00,4929998.00,House
151,Lloyd Smucker (R-Pa),435010.00,2810002.00,5184995.00,House
152,Ben Sasse (R-Neb),281015.00,2788007.00,5294999.00,Senate
153,Billy Long (R-Mo),1152045.00,2783022.00,4413999.00,House
154,Deb Fischer (R-Neb),122012.00,2776005.00,5429998.00,Senate
155,Ann Kuster (D-NH),2145625.00,2762620.00,3379616.00,House
156,Don Norcross (D-NJ),1446068.00,2744534.00,4043000.00,House
157,James P McGovern (D-Mass),381005.00,2698001.00,5014998.00,House
158,Gerry Connolly (D-Va),1405047.00,2650022.00,3894997.00,House
159,Jeff Merkley (D-Ore),980019.00,2603008.00,4225998.00,Senate
160,Lois J Frankel (D-Fla),939176.00,2588088.00,4237000.00,House
161,Greg Walden (R-Ore),1556033.00,2574016.00,3592000.00,House
162,Rosa L DeLauro (D-Conn),131007.00,2541002.00,4950997.00,House
163,David Scott (D-Ga),151004.00,2508001.00,4864998.00,House
164,Nanette Barragan (D-Calif),21016.00,2435507.00,4849998.00,House
165,Austin Scott (R-Ga),1155044.00,2397020.00,3638997.00,House
166,Dan Sullivan (R-Alaska),986042.00,2372519.00,3758997.00,Senate
167,Michael Burgess (R-Texas),1326054.00,2328027.00,3330000.00,House
168,Brian Babin (R-Texas),1034102.00,2287551.00,3541000.00,House
169,Shelley Moore Capito (R-WVa),-224830.00,2149080.00,4522991.00,Senate
170,Mike Enzi (R-Wyo),1042056.00,2137028.00,3232000.00,Senate
171,Eleanor Holmes Norton (D-DC),1162038.00,2084019.00,3006000.00,House
172,Pat Toomey (R-Pa),721060.00,2038029.00,3354998.00,Senate
173,Tom Udall (D-NM),635032.00,1985515.00,3335998.00,Senate
174,Martha Roby (R-Ala),1058047.00,1948523.00,2839000.00,House
175,Mike Simpson (R-Idaho),1023041.00,1944519.00,2865998.00,House
176,Gary Palmer (R-Ala),796088.00,1918044.00,3040000.00,House
177,Cathy McMorris Rodgers (R-Wash),985027.00,1892513.00,2799999.00,House
178,John Cornyn (R-Texas),1074046.00,1884522.00,2694999.00,Senate
179,Dutch Ruppersberger (D-Md),1131021.00,1860510.00,2590000.00,House
180,Ron Kind (D-Wis),1145018.00,1835009.00,2525000.00,House
181,Pete Visclosky (D-Ind),964037.00,1775018.00,2586000.00,House
182,Jerry Moran (R-Kan),749079.00,1759539.00,2769999.00,Senate
183,Susan Wild (D-Pa),839032.00,1746015.00,2652999.00,House
184,Larry Bucshon (R-Ind),960040.00,1744520.00,2529000.00,House
185,John Rutherford (R-Fla),712109.00,1712054.00,2712000.00,House
186,Tina Smith (D-Minn),-3638944.00,1696020.00,7030984.00,Senate
187,Patty Murray (D-Wash),839022.00,1687010.00,2534999.00,Senate
188,Rob Wittman (R-Va),-256872.00,1645563.00,3547998.00,House
189,Mike D Rogers (R-Ala),152026.00,1601011.00,3049996.00,House
190,Juan Vargas (D-Calif),17009.00,1591002.00,3164995.00,House
191,Raja Krishnamoorthi (D-Ill),482030.00,1581013.00,2679997.00,House
192,Julia Brownley (D-Calif),207036.00,1569516.00,2931997.00,House
193,Frederica Wilson (D-Fla),960011.00,1555005.00,2150000.00,House
194,David Cicilline (D-RI),1017006.00,1548503.00,2080000.00,House
195,Peter DeFazio (D-Ore),910020.00,1519010.00,2128000.00,House
196,Stephen F Lynch (D-Mass),807018.00,1519008.00,2230999.00,House
197,Lisa Murkowski (R-Alaska),817024.00,1499011.00,2180999.00,Senate
198,Bill Huizenga (R-Mich),926022.00,1498511.00,2071000.00,House
199,Jared Huffman (D-Calif),811045.00,1478522.00,2146000.00,House
200,Charlie Crist (D-Fla),902011.00,1442005.00,1982000.00,House
201,Adam Schiff (D-Calif),796024.00,1436011.00,2075999.00,House
202,Bobby Scott (D-Va),566071.00,1422035.00,2277999.00,House
203,Elijah E Cummings (D-Md),636005.00,1420501.00,2204998.00,House
204,Pat Tiberi (R-Ohio),687041.00,1399520.00,2111999.00,House
205,Dwight Evans (D-Pa),489051.00,1354524.00,2219998.00,House
206,Frank D Lucas (R-Okla),485013.00,1352504.00,2219995.00,House
207,Debbie Lesko (R-Ariz),767030.00,1348515.00,1930000.00,House
208,Doris Matsui (D-Calif),763014.00,1279007.00,1795000.00,House
209,Don Young (R-Alaska),782009.00,1256004.00,1730000.00,House
210,Donald McEachin (D-Va),733012.00,1232505.00,1731999.00,House
211,Bradley Byrne (R-Ala),700037.00,1230518.00,1761000.00,House
212,Jeff Duncan (R-SC),593015.00,1222005.00,1850996.00,House
213,Drew Ferguson (R-Ga),684026.00,1197513.00,1711000.00,House
